CountyFIPS,Year,Disease,Disease_AdjPrev,is_extreme_disease
8035,2019,Current Asthma,8.5,False
8035,2020,COPD,3.7,False
8035,2020,Current Asthma,9.0,False
8035,2021,COPD,3.7,False
8035,2021,Current Asthma,9.2,False
8035,2022,COPD,3.6,False
8035,2022,Current Asthma,10.4,False
8041,2019,COPD,4.7,False
8041,2019,Current Asthma,10.1,False
8041,2020,COPD,5.2,False
8041,2020,Current Asthma,10.0,False
8041,2021,COPD,5.2,False
8041,2021,Current Asthma,10.3,False
8041,2022,COPD,5.0,False
8041,2022,Current Asthma,11.6,False
8045,2019,COPD,4.9,False
8045,2019,Current Asthma,8.8,False
8045,2020,COPD,5.4,False
8045,2020,Current Asthma,9.7,False
8045,2021,COPD,5.3,False
8045,2021,Current Asthma,10.2,False
8045,2022,COPD,5.3,False
8045,2022,Current Asthma,10.7,False
8047,2020,COPD,4.4,False
8047,2020,Current Asthma,9.5,False
8047,2021,COPD,4.7,False
8047,2021,Current Asthma,10.0,False
8047,2022,COPD,4.8,False
8047,2022,Current Asthma,10.9,False
8051,2019,COPD,4.7,False
8051,2019,Current Asthma,9.2,False
8051,2020,COPD,4.9,False
8051,2020,Current Asthma,9.6,False
8051,2021,COPD,4.9,False
8051,2021,Current Asthma,10.0,False
8051,2022,COPD,4.6,False
