CountyFIPS,Year,DiseaseID,Disease_AdjPrev
6063,2019,1,5.7
6063,2019,2,9.5
6063,2020,1,6.4
6063,2020,2,10.5
6063,2021,1,6.1
6063,2021,2,10.3
6063,2022,1,5.9
6063,2022,2,11.0
6065,2019,1,5.1
6065,2019,2,8.3
6065,2020,1,5.6
6065,2020,2,9.8
6065,2021,1,5.3
6065,2021,2,9.1
6065,2022,1,4.9
6065,2022,2,9.5
6067,2019,1,5.2
6067,2019,2,9.8
6067,2020,1,5.8
6067,2020,2,10.4
6067,2021,1,5.3
6067,2021,2,10.0
6067,2022,1,5.1
6067,2022,2,10.2
6069,2019,1,4.5
6069,2019,2,8.3
6069,2020,1,5.3
6069,2020,2,9.5
6069,2021,1,4.7
6069,2021,2,9.2
6069,2022,1,4.4
6069,2022,2,9.1
6071,2019,1,5.1
6071,2019,2,8.9
6071,2020,1,5.8
6071,2020,2,10.1
6071,2021,1,5.6
6071,2021,2,9.6
6071,2022,1,5.1
6071,2022,2,9.8
6073,2019,1,4.6
6073,2019,2,7.9
6073,2020,1,5.0
6073,2020,2,9.0
6073,2021,1,4.7
6073,2021,2,9.2
6073,2022,1,4.4
6073,2022,2,8.9
6075,2019,1,3.6
6075,2019,2,7.5
6075,2020,1,3.9
6075,2020,2,8.4
6075,2021,1,3.6
6075,2021,2,8.3
6075,2022,1,3.6
6075,2022,2,8.5
6077,2019,1,5.3
6077,2019,2,9.6
6077,2020,1,6.0
6077,2020,2,9.8
6077,2021,1,5.6
6077,2021,2,9.7
6077,2022,1,5.2
6077,2022,2,9.5
6079,2019,1,5.0
6079,2019,2,9.0
6079,2020,1,5.5
6079,2020,2,9.7
6079,2021,1,5.2
6079,2021,2,9.8
6079,2022,1,4.9
6079,2022,2,10.0
6081,2019,1,3.5
6081,2019,2,7.8
6081,2020,1,3.9
6081,2020,2,8.3
6081,2021,1,3.5
6081,2021,2,8.1
6081,2022,1,3.5
6081,2022,2,8.5
6083,2019,1,4.9
6083,2019,2,8.6
6083,2020,1,5.7
6083,2020,2,9.9
6083,2021,1,5.3
6083,2021,2,9.7
6083,2022,1,5.2
6083,2022,2,9.7
6085,2019,1,3.5
6085,2019,2,7.2
6085,2020,1,3.7
6085,2020,2,7.9
6085,2021,1,3.3
6085,2021,2,7.9
6085,2022,1,3.3
6085,2022,2,7.9
6087,2019,1,4.8
6087,2019,2,8.8
6087,2020,1,5.5
6087,2020,2,9.9
6087,2021,1,5.1
6087,2021,2,9.5
6087,2022,1,4.7
6087,2022,2,9.8
6089,2019,1,6.4
6089,2019,2,9.6
6089,2020,1,7.1
6089,2020,2,10.8
6089,2021,1,6.5
6089,2021,2,10.4
6089,2022,1,6.1
6089,2022,2,10.9
6093,2019,1,6.6
6093,2019,2,9.8
6093,2020,1,7.5
6093,2020,2,11.0
6093,2021,1,7.0
6093,2021,2,10.7
6093,2022,1,6.6
6093,2022,2,11.2
6095,2019,1,4.6
6095,2019,2,8.8
6095,2020,1,5.1
6095,2020,2,9.8
6095,2021,1,4.8
6095,2021,2,9.6
6095,2022,1,4.6
6095,2022,2,10.1
6097,2019,1,4.7
6097,2019,2,9.1
6097,2020,1,5.3
6097,2020,2,9.9
6097,2021,1,5.1
6097,2021,2,9.7
6097,2022,1,4.7
6097,2022,2,9.8
6099,2019,1,5.7
6099,2019,2,9.4
6099,2020,1,6.5
6099,2020,2,10.0
6099,2021,1,6.1
6099,2021,2,10.2
6099,2022,1,5.7
6099,2022,2,10.0
6101,2019,1,5.9
6101,2019,2,9.1
6101,2020,1,6.4
6101,2020,2,10.0
6101,2021,1,6.0
6101,2021,2,9.9
6101,2022,1,6.1
6101,2022,2,10.0
6103,2019,1,7.2
6103,2019,2,10.0
6103,2020,1,7.9
6103,2020,2,10.9
6103,2021,1,7.3
6103,2021,2,10.6
6103,2022,1,6.8
6103,2022,2,10.7
6105,2019,1,7.2
6105,2019,2,10.1
6105,2020,1,8.3
6105,2020,2,11.1
6105,2021,1,7.9
6105,2021,2,10.8
6105,2022,1,7.8
6105,2022,2,11.3
6107,2019,1,6.3
6107,2019,2,9.5
6107,2020,1,7.3
6107,2020,2,10.8
6107,2021,1,6.7
6107,2021,2,10.3
6107,2022,1,6.0
6107,2022,2,10.0
6109,2019,1,6.0
6109,2019,2,9.4
6109,2020,1,6.3
6109,2020,2,10.1
6109,2021,1,5.8
6109,2021,2,9.8
6109,2022,1,5.6
6109,2022,2,10.5
6111,2019,1,4.4
6111,2019,2,8.2
6111,2020,1,5.1
6111,2020,2,9.5
6111,2021,1,4.8
6111,2021,2,9.2
6111,2022,1,4.5
6111,2022,2,9.5
6113,2019,1,5.0
6113,2019,2,8.8
6113,2020,1,5.7
6113,2020,2,9.7
6113,2021,1,5.2
6113,2021,2,9.6
6113,2022,1,5.0
6113,2022,2,9.8
8001,2019,1,4.7
8001,2019,2,8.8
8001,2020,1,5.4
8001,2020,2,10.0
8001,2021,1,5.5
8001,2021,2,10.6
8001,2022,1,5.2
8001,2022,2,10.9
8005,2019,1,4.1
8005,2019,2,9.0
8005,2020,1,4.6
8005,2020,2,9.8
8005,2021,1,4.9
8005,2021,2,10.5
8005,2022,1,4.6
8005,2022,2,10.5
8007,2019,1,4.8
8007,2019,2,9.3
8007,2020,1,5.1
8007,2020,2,9.8
8007,2021,1,5.5
8007,2021,2,10.4
8007,2022,1,5.4
8007,2022,2,11.0
8013,2019,1,4.0
8013,2019,2,8.4
8013,2020,1,4.2
8013,2020,2,9.5
8013,2021,1,4.4
8013,2021,2,9.9
8013,2022,1,4.4
8013,2022,2,10.3
8019,2019,1,4.4
8019,2019,2,8.9
8019,2020,1,4.5
8019,2020,2,9.4
8019,2021,1,4.4
8019,2021,2,9.7
8019,2022,1,4.4
